SMILES,Formula,formula1,mz,Ref
CCC(F)(F)C(F)C(F)(F)F,C5H6F6,C5H6F6,179.0300895,EPA_Dashboard
O=[N+]([O-])C(F)(Cl)C(F)(F)F,C2ClF4NO2,C2Cl1F4N1O2,179.9480888,EPA_Dashboard
ON=C(C(F)(F)F)C(F)(F)F,C3HF6NO,C3H1F6N1O1,179.988953,EPA_Dashboard
FC(=C(Cl)Cl)C(F)(F)F,C3Cl2F4,C3Cl2F4,180.9240382,EPA_Dashboard
FC(F)(Cl)C1(F)OC1(F)F,C3ClF5O,C3Cl1F5O1,180.9485034,EPA_Dashboard
O=C(Cl)C(F)(F)C(F)(F)F,C3ClF5O,C3Cl1F5O1,180.9485034,EPA_Dashboard
O=C(F)C(F)(F)C(F)(F)Cl,C3ClF5O,C3Cl1F5O1,180.9485034,EPA_Dashboard
O=C(F)C(F)(Cl)C(F)(F)F,C3ClF5O,C3Cl1F5O1,180.9485034,EPA_Dashboard
O=C(F)C(F)(F)OC(F)(F)F,C3F6O2,C3F6O2,180.9729686,EPA_Dashboard
FC1(F)OC(F)(F)C(F)(F)O1,C3F6O2,C3F6O2,180.9729686,EPA_Dashboard
FC(F)=C(F)C(F)(F)C(F)F,C4HF7,C4H1F7,180.9893676,EPA_Dashboard
FC(=CC(F)(F)F)C(F)(F)F,C4HF7,C4H1F7,180.9893676,EPA_Dashboard
CC(O)(C(F)(F)F)C(F)(F)F,C4H4F6O,C4H4F6O1,181.0093541,EPA_Dashboard
COC(F)(F)C(F)(F)C(F)F,C4H4F6O,C4H4F6O1,181.0093541,EPA_Dashboard
FC(F)OCC(F)(F)C(F)F,C4H4F6O,C4H4F6O1,181.0093541,EPA_Dashboard
CC(F)(F)C(F)(F)C(O)(F)F,C4H4F6O,C4H4F6O1,181.0093541,EPA_Dashboard
COC(F)(F)C(F)C(F)(F)F,C4H4F6O,C4H4F6O1,181.0093541,EPA_Dashboard
COC(C(F)(F)F)C(F)(F)F,C4H4F6O,C4H4F6O1,181.0093541,EPA_Dashboard
OCC(C(F)(F)F)C(F)(F)F,C4H4F6O,C4H4F6O1,181.0093541,EPA_Dashboard
COC(F)(C(F)F)C(F)(F)F,C4H4F6O,C4H4F6O1,181.0093541,EPA_Dashboard
NC(N)(C(F)(F)F)C(F)(F)F,C3H4F6N2,C3H4F6N2,181.0205874,EPA_Dashboard
FC(F)=NC(F)(F)C(F)(F)F,C3F7N,C3F7N1,181.9846165,EPA_Dashboard
NC(O)(C(F)(F)F)C(F)(F)F,C3H3F6NO,C3H3F6N1O1,182.004603,EPA_Dashboard
FC(F)(Cl)C(F)(F)CCl,C3H2Cl2F4,C3H2Cl2F4,182.9396883,EPA_Dashboard
FC(F)(F)C(F)(Cl)CCl,C3H2Cl2F4,C3H2Cl2F4,182.9396883,EPA_Dashboard
FC(F)C(F)(F)C(Cl)Cl,C3H2Cl2F4,C3H2Cl2F4,182.9396883,EPA_Dashboard
FC(C(Cl)Cl)C(F)(F)F,C3H2Cl2F4,C3H2Cl2F4,182.9396883,EPA_Dashboard
